file,n_bar,piano,percussion,organ,guitar,bass,strings,ensemble,brass,reed,pipe,synth-lead,synth-pad,synth-effects,ethnic,percussive,sound-effects,drums,genre,style
b770766d81ff3a1f9a08ad01de189f5b.mid,307,0,0,0,0,0,0,7850,0,0,0,0,0,0,0,0,0,0,-,-
a56da83297dd47052164bb79b93699e4.mid,306,1161,0,442,0,691,0,0,0,522,0,923,398,0,0,0,0,2514,-,-
e08b15ae956911edf9822a3cbca9f417.mid,306,0,0,708,729,857,0,0,312,310,0,0,0,0,0,0,0,3078,Latin,Pop_Latin
27d4c6f1a4c62ccd631fb6911c0d5575.mid,306,1161,0,442,0,691,0,0,0,522,0,0,398,0,0,0,0,2108,-,-
45862f9ea9c71cd13185767153c15728.mid,306,0,0,708,729,857,0,0,312,310,0,0,0,0,0,0,0,3078,-,-
5dd4427d17c9f72d41231ac40337f30b.mid,306,1691,0,0,897,810,0,0,0,0,0,0,0,0,0,0,0,1997,Pop_Rock,Pop_Latin
7013cead17afceda4f14766022e14116.mid,306,1161,0,442,0,691,0,0,0,522,0,0,398,0,0,0,0,2108,-,-
07d16556460e3d181e25e7d303ef75ad.mid,306,1161,0,442,0,691,0,0,0,522,0,0,398,0,0,0,0,2108,-,-
c301629e57f9a052b783601de8c43d45.mid,304,3077,1173,739,3176,2074,0,1017,604,878,480,0,0,0,0,0,0,8252,-,-
fcdc1aab1893acde24407b8b4909195a.mid,296,0,0,0,9160,4077,0,670,0,0,0,0,0,0,0,0,0,6854,-,-
278c795397f2dc3ea21dc5614200a206.mid,295,0,0,0,0,0,3370,7079,1345,3556,1277,0,0,0,0,0,0,0,-,-
969dcf54c601ad418bc5d75c0a8cc213.mid,295,0,0,0,0,0,3370,7079,1345,3556,1277,0,0,0,0,0,0,0,-,-
7794723e6c06ed0b5381b2265a319140.mid,292,0,0,1696,3243,1788,0,695,0,335,462,1256,0,0,0,0,301,4786,-,-
56e6f7965e908aa3a2a9f77ea27d4600.mid,292,0,0,1696,3243,1788,0,695,0,335,462,1256,0,0,0,0,301,4786,-,-
9b00e3e07949ddb99638f4cf0c0a914c.mid,292,697,0,1696,3243,1788,0,695,0,335,462,851,0,0,0,0,301,4786,-,-
5113fcd475d9ee55b27bf04e3d6cc608.mid,292,0,0,1696,3243,1788,0,695,0,335,462,1256,0,0,0,0,301,4786,-,-
20b36dd4f3d3a4ad925b0a91f5172504.mid,292,0,0,1696,3243,1788,0,695,0,335,462,1256,0,0,0,0,301,4786,-,-
c79c90674a0676b053022fc8187a80bb.mid,292,0,0,1696,3243,1788,0,695,0,335,462,1256,0,0,0,0,301,4786,-,-
1a2edb832812beeaab257acf69e2c7f1.mid,291,1830,0,0,11698,1779,0,292,0,0,0,0,0,0,0,0,317,4970,-,-
26287cd62a03d0227075a4179f4ae4b1.mid,290,0,0,0,7385,1442,0,0,1285,644,0,0,1498,0,0,0,0,7707,Latin,Pop_Latin
9c94d3ad6c4bb51b084bc6b37240c3b3.mid,287,0,0,0,0,1029,1348,2230,2517,2758,1480,0,0,0,0,0,0,2728,-,-
61aefe1e2ae0d33b58d19efb1880c8c5.mid,287,0,0,0,0,1029,1347,2230,2517,2758,1480,0,0,0,0,0,0,2728,-,-
2c551146413a5c88d2ade4d311018d1a.mid,285,4435,0,0,390,0,547,798,485,0,937,0,377,0,0,0,0,5708,Jazz,Folk_International
c685c8e79bb88735035fb84408a8eaab.mid,285,0,0,0,3381,2182,0,0,0,0,0,1077,0,0,0,0,0,3064,Comedy_Spoken,-
10a5163ed4d692eefd3d53b144e4e219.mid,284,0,0,0,3667,2958,671,0,0,0,0,0,0,0,0,0,0,4198,-,-
1bc53364d3e4a2611e13f6f91612465c.mid,283,8421,0,0,0,0,0,4140,0,0,0,0,0,0,0,0,0,0,-,-
dd8e757f5f4534fe41f17f695490a2a0.mid,281,0,0,0,3499,2178,0,0,0,0,0,1073,0,0,0,0,0,3060,-,-
cae87b0a44b7a432ce6f732448b204a9.mid,281,0,0,0,2685,2226,0,0,1073,0,0,0,0,0,0,0,0,3060,Comedy_Spoken,-
b9b8651035f7a902dd612a318247c6f4.mid,280,0,0,1232,1640,1581,1269,1269,408,677,0,0,0,0,0,0,0,2276,Pop_Rock,Rock_Hard
233374fbff0c7397f8d8dfdbb3e31975.mid,280,3452,0,0,1543,1255,0,827,1329,2052,0,0,0,747,0,0,281,9231,-,-
74f6f8b2406892d61b5d1fc4966a9cb4.mid,280,0,0,1232,1640,1581,1269,1269,408,667,0,0,0,0,0,0,0,2276,Pop_Rock,Metal_Heavy
dff023489ead8b9a5ede627bb23b39d8.mid,276,3235,0,789,1540,1243,0,978,1403,1227,1201,0,0,0,0,280,0,8947,-,-
129d1fe9551aa244cab0ef999e86fcdb.mid,276,0,0,0,0,3404,0,796,5005,0,0,0,0,435,0,0,0,8052,-,-
ae64d31e3f72d214ffdb3270a7987090.mid,276,0,0,0,0,3404,0,796,5053,0,0,0,0,323,0,0,0,5423,-,-
dcab85f5987aad5844a6b545a774b722.mid,276,0,0,0,6073,3026,587,0,0,0,280,371,0,0,0,0,0,4105,Pop_Rock,Electronica
f663606f87a00fabe32583724b3c5bb2.mid,274,3599,0,0,0,1033,0,0,1431,2743,0,0,0,0,0,0,0,6835,-,-
3f46952b8df1cbba2f05381700464dbb.mid,273,0,0,0,3812,833,274,0,0,0,0,559,0,0,0,0,0,2911,Pop_Rock,Rock_Hard
819d929c60554df101594dbe72ceed34.mid,273,7792,0,0,0,0,0,3614,0,0,0,0,0,0,0,0,0,0,-,-
6a163b4b4fb4e128e1a11de14a0a8aea.mid,273,1390,0,0,1873,1767,0,0,2380,3216,0,0,0,0,991,0,0,1585,-,-
5938c79465c5b3cb718fb513b9820ec4.mid,271,0,0,0,7359,3683,0,988,0,0,0,0,0,0,0,0,363,4879,-,-
dcb9c4feaede03f3e922c904998f7a0b.mid,271,0,0,0,4976,3225,0,901,0,0,0,0,0,0,0,0,0,5602,Electronic,-
595de2c34800ad22dbee43d9d70dc77f.mid,270,10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
605888309dbef175b4130d3e8fb1bf8a.mid,270,10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
0e48291ce680822b9e3d45995618d085.mid,270,10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
7c4e61365c4f6b6580f726cc1334db70.mid,270,10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
a9b7cb2a0ed0aa001b3df836021cfaf2.mid,270,10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
4a2e352432d15e89ef76880d9f4cb89f.mid,270,10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
a5e2e7ce6c7c34d3741b7c98b9b4b99a.mid,269,760,0,0,680,1468,0,508,1780,0,578,0,0,281,0,0,273,3769,Jazz,Jazz_Classic
9f8cde9d4eb42a90d3a0df2276878f9b.mid,268,10206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
e3af1e318a83758a661bf45882467c88.mid,268,3246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
5e8375a878a23721762f11d052a146f3.mid,267,10181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
163238c3763f18fe5d7ce47e1efa6519.mid,267,10197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
eda60935b428035cffc9873a43182923.mid,266,0,0,0,0,0,971,10371,2249,5673,2533,0,0,0,0,433,0,0,-,-
7659364fc7700d6284639c0d01ada804.mid,266,0,0,0,5159,1066,267,0,0,0,0,552,0,268,0,0,0,3094,Pop_Rock,Rock_Hard
9cabb28d1d430dd3a06daf404913004d.mid,266,0,0,0,0,0,765,9996,1578,2992,0,0,0,0,0,0,0,0,-,-
bdc67b45d8057c8abc5f32416a4cdbf4.mid,264,0,0,1800,4927,1404,0,0,0,0,0,0,0,0,0,0,0,3745,-,-
d36e3af47a9f3aa4683baf50c4c01704.mid,264,10144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
f80c4446865fa339bcfadc318eb963a6.mid,264,793,0,0,2103,550,476,865,550,0,0,6965,0,680,0,464,0,13999,Pop_Rock,-
3810129e424964801309bfb4bf4ae93f.mid,261,402,289,469,6348,3176,0,409,0,0,0,1918,0,0,0,0,0,5907,Pop_Rock,Metal_Death
c423ca647cc7512c708dfd6e29f13e46.mid,260,732,316,300,2176,1578,0,0,435,467,1424,308,0,0,0,379,0,3739,-,-
c80dbd201583b0a71a64019a34263b6a.mid,259,921,0,0,0,4185,0,757,0,0,0,475,499,0,0,0,435,4782,-,-
4365fa97b938d6a8ff7915dcafd2b483.mid,259,0,455,527,1846,1159,415,1102,524,1291,1341,0,340,0,274,310,0,2731,-,-
bafdf83944bb65fd0cb867584ece7a43.mid,259,1119,0,307,3226,4185,0,813,0,0,0,2257,499,435,0,0,0,3467,-,-
21a2e6b852e151830eb8bda9ce98b6f8.mid,259,921,0,0,1168,4185,0,861,0,0,0,2259,499,0,0,262,435,4782,-,-
1e4b11a8a3f5f3ee907c15f61f486d61.mid,259,921,0,307,3150,4185,0,813,0,0,0,2257,499,435,0,0,0,3467,-,-
bb2b52e8cc0dfd02ce22c751cd82442b.mid,258,1322,0,0,5477,5987,0,1571,0,0,0,0,0,0,0,261,0,8674,Pop_Rock,Metal_Heavy
b69c4376637d3facc0a87176575fd039.mid,258,0,0,0,6055,3068,0,0,0,1023,0,267,0,0,0,0,0,4059,Pop_Rock,Metal_Heavy
62e1e02e958165370bbbf682da0acc73.mid,258,0,0,0,5019,2970,0,0,0,1064,0,0,0,0,0,0,0,4374,Pop_Rock,Metal_Heavy
c87292a2b10e362916682f413115c885.mid,258,0,0,0,5019,2970,0,0,0,1064,0,0,0,0,0,0,0,4374,Pop_Rock,Metal_Heavy
731eb61255e092b52a07a2b7b2d9082e.mid,258,0,0,0,6055,3068,0,0,0,0,0,1032,0,0,0,0,0,4059,Pop_Rock,Metal_Heavy
5caf733c42681cb9d1287bda7a9372d6.mid,258,952,0,339,3323,4141,0,835,0,0,0,2264,579,443,0,0,0,3576,-,-
ee2ad1dae63533ccabe38321137d0053.mid,258,2970,0,0,5019,0,1064,0,0,0,0,0,0,0,0,0,0,4374,Pop_Rock,Metal_Heavy
ccf5c4bfc43a316192bc17285093cf3d.mid,257,589,0,541,3131,1359,317,777,788,1375,364,0,701,0,0,0,0,3870,-,-
c232e7bc853c5d23c7747431cde0af84.mid,257,4172,0,0,0,1040,0,0,2202,3076,0,0,0,0,0,0,0,5421,-,-
1f4392a6d0ef765a80e167f5766e9804.mid,255,1033,0,0,5037,1761,0,0,0,0,0,0,0,0,0,0,0,6034,-,-
704b57df92d0bfca81cdb246cfa1923e.mid,254,0,0,0,11686,2025,0,0,705,1192,591,1467,338,0,0,0,298,4189,Pop_Rock,-
40127b325c68acf9d767fe5b294a9d45.mid,254,1267,0,0,1176,1001,0,809,0,0,0,0,638,0,0,0,0,2659,Pop_Rock,Rock_Contemporary
f1cf12609c09f2f9a5616db56c321326.mid,253,0,0,0,2491,4210,0,866,0,0,0,666,0,0,0,0,0,7144,-,-
f68df581fa98b1a33263355d158b207b.mid,252,0,0,0,1157,4209,0,665,0,0,0,1747,665,478,0,0,0,7143,-,-
c0d64257e1f5317ea5cae567a8280693.mid,252,0,0,0,1157,4209,0,665,0,0,0,1747,665,478,0,0,0,7143,-,-
6cd9983f48e7b44d3a67aa9f6f7119eb.mid,252,0,0,0,2490,4209,0,865,0,0,0,665,0,0,0,0,0,7143,-,-
9e301cca6886a0db7f8538f27ab87c07.mid,252,0,0,0,2490,4209,0,865,0,0,0,665,0,0,0,0,0,7143,Pop_Rock,Pop_Indie
a9c51bc945098f014b6252679470ff6e.mid,251,1282,0,530,5496,2784,0,1522,2930,607,0,0,1175,0,0,0,0,5513,-,-
8a23c2f691c54ddb25ad2d1ad97cc402.mid,251,1282,0,530,5496,2784,0,1522,2930,607,0,0,1175,0,0,0,0,5513,-,-
4a2978950e7f8aef320c14178b48b535.mid,251,0,0,0,0,0,0,7573,1778,3427,1166,0,0,0,0,0,0,0,-,-
eacfeeee4ad73aa471c8590aed2ad399.mid,251,1279,0,530,4923,3471,0,1522,3035,607,0,0,1175,0,0,0,0,5521,-,-
16adef6e3daf3be6d92b35cc59cf48e7.mid,251,5130,0,0,0,0,0,0,0,2357,0,3217,0,0,0,0,0,0,-,-
6d8e2135fb0e7102979fa01c6b8638a0.mid,251,5130,0,0,0,0,0,0,0,2357,0,3217,0,0,0,0,0,0,-,-
92d6f8ff2514c8acab6d66c9004f2873.mid,250,6185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5893,-,-
5ecd9281491ea93fa9e98edaf0882d6b.mid,249,3082,2798,0,0,0,0,2244,0,0,0,0,2514,1926,0,0,0,3993,Pop_Rock,Rock_College
8a742747df16659d18d125abcfb6af09.mid,249,2026,1294,0,489,2026,0,1002,473,0,0,0,934,0,0,0,0,5899,Pop_Rock,Pop_Contemporary
dd1446f48d2edd5b3f8be62243c0ef35.mid,249,0,0,0,3574,2641,0,385,0,0,0,0,736,0,0,0,251,4288,-,-
ce4d0bbff06b6a0ab654d6e42b1b2c17.mid,248,7690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
76cbf14f78f32179c6a4d69f0c8928cd.mid,247,0,0,0,0,5317,0,0,1746,0,0,270,0,0,0,5104,0,9697,-,-
90c17898f6491ce212f875c5bff07fc4.mid,247,0,0,0,0,5317,0,0,1746,0,0,270,0,0,0,5104,0,9697,-,-
c39241db61d9c6a2a1acd289007f68f0.mid,247,0,0,0,0,5317,0,0,1746,0,0,270,0,0,0,5626,0,9697,-,-
92f258cf435d0b5d6cfaa530f57dd8f9.mid,246,0,0,0,10194,3730,0,0,1034,0,0,0,0,0,0,0,257,4250,Electronic,-
a66c4c305f6919927187bbfa5f0b9d30.mid,246,0,0,0,10194,3730,0,0,1034,0,0,0,0,0,0,0,257,4250,Pop_Rock,-
b4e7d452d45c72e5eca745849b48abc0.mid,246,4629,2404,0,0,0,0,0,9978,0,0,0,0,0,0,0,0,4629,-,-
c18212822bd0ecf926079cfa4ec3629d.mid,245,731,0,0,8446,3799,0,0,0,0,0,0,0,0,0,0,0,4631,Pop_Rock,Rock_Hard
5fe200f543c890d67a5e7b7e897755c2.mid,245,731,0,0,8446,3799,0,0,0,0,0,0,0,0,0,0,0,4631,Pop_Rock,Rock_Hard
777a9f585decefb5175909db2a8e2096.mid,244,8640,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,7015,-,-
94710d745cb9c56fe2dea316e9d6e916.mid,244,0,0,3056,2944,1688,0,292,1196,0,0,0,0,0,0,0,0,4805,Pop_Rock,Rock_Hard
24ad7c135774118dc88eb7edfc3f9414.mid,243,3587,0,394,411,2898,0,2435,0,0,0,0,327,244,0,246,245,5195,Electronic,Dance
70e67da4b153d55d10896825e73c82ea.mid,243,0,0,0,7011,3766,0,851,0,0,0,0,0,0,0,0,305,4770,-,-
1d39f1b9e285d76ea36032b18611db8f.mid,243,0,0,375,4496,5201,0,565,0,0,0,1893,0,0,0,0,0,7874,Religious,Pop_Contemporary
9c4d08728dd3a00710ac2f3bd7d2ef05.mid,243,1000,0,0,6214,1750,0,0,0,969,0,0,0,0,0,0,263,4119,-,-
d20c2e2254fd8bd3c9365aa8fbad74a1.mid,243,2816,1094,279,411,2898,0,2517,0,0,0,0,327,244,0,246,245,5195,-,-
e0314f6776b13cd24a794e685bbf18d5.mid,243,2816,1094,279,411,2898,0,2517,0,0,0,0,327,244,0,246,245,4785,-,-
9f28f63464040775f7e74f033274d98b.mid,243,2816,1094,279,411,2898,0,2517,0,0,0,0,327,244,0,246,245,5195,-,-
0713b7dfcf615d15e92317fe21c2c457.mid,242,963,0,0,4918,1749,0,0,0,968,0,0,0,0,0,0,0,4117,-,-
5d188eb6021a4b86e870e384fa1d2a65.mid,242,7105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4118,-,-
08ce5e92a7db8bc0060e68d2c76a71b6.mid,242,1685,0,0,4918,1749,0,0,0,0,0,0,0,0,0,0,0,4118,-,-
a9968bc56c22f950c33965507b7f074f.mid,242,999,0,3028,3092,1749,0,0,0,0,0,0,0,0,0,0,256,4118,-,-
5b0cdfca9dbde064f0efc16c7a131544.mid,242,0,0,695,5353,1792,0,0,0,0,0,0,0,0,0,0,250,2861,-,-
ddcb7071493813f1b35458d321df0236.mid,242,963,0,0,4918,1749,0,0,0,968,0,0,0,0,0,0,0,4117,-,-
bf9e3ae50b63b6e20c82e63d5e1439c0.mid,242,0,0,695,5353,1792,0,0,0,0,0,0,0,0,0,0,250,2861,-,-
bcb28623313e8d8a0e3a8e42de62b4e6.mid,242,999,0,0,5699,2604,0,0,0,0,0,298,0,0,0,0,262,4109,-,-
1f2dd6d866a363c311134ce82c0957d2.mid,242,999,0,0,4907,1749,0,968,0,0,0,0,0,0,0,0,262,4118,-,-
bf1484fb458367bee2c3ebb198afcb1c.mid,242,999,0,0,4907,1749,0,968,0,0,0,0,0,0,0,0,262,4118,-,-
702708bc27aea034cbe7f68cca2483e4.mid,242,963,0,0,4918,1749,0,0,0,968,0,0,0,0,0,0,0,4117,-,-
0b1f56453a0c7c4f6b82ab26e68301bf.mid,241,0,0,1239,4864,0,0,0,0,0,0,6139,0,0,0,2047,344,7881,-,-
9b072fe9972b1b8103c6eddbf24e95c6.mid,241,998,0,0,5369,1748,0,0,0,0,0,0,0,0,0,0,261,4110,-,-
6b463bcdf5c8f1647967ed6efa2e3e72.mid,240,293,480,0,4389,1549,0,1470,0,0,0,0,568,600,0,0,0,5598,Pop_Rock,-
209f7213b921c8b72a480c6ad2cefb45.mid,239,0,0,497,5177,1786,0,0,1116,0,0,0,1106,0,0,0,241,2758,-,-
33cca89c9ce6289c7a5aa95c1c17e1ed.mid,238,0,0,0,0,0,7544,7544,0,0,0,0,0,0,0,0,0,0,-,-
2156b8c94e676c570207121eb70f57c9.mid,238,0,0,0,0,1541,0,293,5433,0,0,1149,796,512,0,0,0,4407,-,-
f2434308d89e2cecf93d9fe733906006.mid,238,0,0,0,0,1541,0,293,5433,0,0,1149,796,512,0,0,0,4407,-,-
2bd98d920bbde216a7e26081e14d0188.mid,238,0,0,496,5176,2488,0,0,0,0,0,0,0,0,0,0,240,2757,-,-
802c5082ae9d9f596b3858a01c06ebf5.mid,238,0,0,496,5176,2488,0,0,0,0,0,0,0,0,0,0,240,2757,-,-
5cbe70c08dc8889dc7d484ac96ad9b3d.mid,238,0,0,496,5176,2488,0,0,0,0,0,0,0,0,0,0,240,2757,-,-
7490c7a524050bca0f5759241446352c.mid,238,0,0,0,0,3406,1515,739,649,0,775,2241,0,0,0,0,0,3706,-,-
b93f2398c526b451de32a6b05c5883d3.mid,238,0,0,0,0,1541,0,293,5433,0,0,1149,796,512,0,0,0,4407,-,-
5e8582c6324b03f4f444af15840f23ca.mid,238,0,0,496,5176,2488,0,0,0,0,0,0,0,0,0,0,240,2757,-,-
5bd21d47a47504c04e243220c147a243.mid,238,0,0,496,5176,2488,0,0,0,0,0,0,0,0,0,0,240,2757,-,-
4c230ea8bd55c9b5f7786f470dad32eb.mid,238,0,0,0,0,3406,1515,739,649,0,775,2241,0,0,0,0,0,3706,-,-
6292a540a633a98270a1c053977526e5.mid,238,0,0,0,0,1541,0,293,5433,0,0,1149,796,512,0,0,0,4407,-,-
2e22dec8569b5ab438e0c20de890e138.mid,236,7488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7355,Pop_Rock,Dance
466c858c0f1c262680d5998a53d3bedf.mid,235,2842,0,0,5111,1034,0,1406,1632,651,0,0,0,0,0,0,0,3820,Pop_Rock,-
29c124a8f41e769de95654d4c5978403.mid,234,709,0,0,5324,1166,0,287,0,0,0,1481,0,0,0,0,0,2464,-,-
5d8456d55ab332d98f5a79bc6ce25955.mid,234,314,0,0,4650,3777,0,5745,0,3241,0,1170,0,0,0,254,238,5603,-,-
49aa328cb7fe9f92d5b465661a50b7e4.mid,234,0,0,0,0,0,1627,2920,0,0,0,0,0,0,0,0,0,0,-,-
10f0a07ead0ee46ba4287db7f86b6324.mid,234,0,0,0,0,0,1627,2920,0,0,0,0,0,0,0,0,0,0,-,-
19faea34336c802ddbd9edebe8def499.mid,234,3804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
eeda5bf16ad386789ec1f7ce06737d39.mid,234,4249,1615,0,9042,1754,0,1496,0,0,0,0,0,0,0,0,0,14379,Electronic,Dance
eabdef21c99269646d8d560e2db50a0e.mid,234,4249,1615,0,9042,1754,0,1496,0,0,0,0,0,0,0,0,0,14379,-,-
5eacb5a59a365103195e1c033bcae9d6.mid,234,0,0,0,0,0,3805,0,0,0,0,0,0,0,0,0,0,0,-,-
3292b12e96b3d5442d5eee82fac6a869.mid,234,0,256,1289,4573,862,0,309,0,0,0,309,271,258,0,0,0,1424,-,-
b03059ef1e9c9db1cbb17658b2e37701.mid,233,0,0,0,3308,1639,0,1313,0,0,0,0,1062,0,0,0,0,7398,-,-
a780bd99842039f51e26ec614aac50fa.mid,232,0,0,0,9444,1991,0,320,0,0,1002,0,0,0,0,0,238,6078,Pop_Rock,-
5705564fa4212f5379eb11decad66df4.mid,232,5234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
fe06fda67375940d5635fbf704685cfe.mid,232,3881,846,0,0,6393,0,434,3977,0,0,0,501,0,0,0,0,11721,-,-
bb540c80875194b6d042258a52585d29.mid,232,3881,846,0,0,6393,0,434,3977,0,0,0,501,0,0,0,0,11721,-,-
c5f323fc93cb018b61d5e90b3045e39c.mid,231,3840,0,1068,958,1473,0,275,0,0,0,0,0,0,0,0,0,5320,-,-
bd010461a04a411bc00d12d1a3aa37fb.mid,231,4683,0,0,1519,3148,0,0,0,0,0,709,0,0,0,0,239,5208,-,-
b4bd841099c18999b0045535ae4c282c.mid,231,3194,0,1068,958,1473,0,1166,0,0,0,0,0,0,0,0,0,5320,-,-
e1f1c9495fb8f6f3ba3e97786a6ab229.mid,231,4683,0,0,1519,3148,0,0,0,0,0,709,0,0,0,0,239,5208,-,-
5d4094086d764a7fa0bae17df2252434.mid,231,3194,0,1068,958,1473,0,1166,0,0,0,0,0,0,0,0,0,5320,-,-
3d5029acc4fd611591a45e800ac01870.mid,231,4683,0,0,2457,2027,0,709,0,0,0,0,0,0,0,0,239,5208,-,-
f8af8a67c6f6c143517407a0e498c9b7.mid,231,4683,0,0,1519,3148,0,0,0,0,0,709,0,0,0,0,239,5208,-,-
8ce721efd1967500e9f01a2d23a29e6a.mid,231,3840,0,1068,958,1473,0,275,0,0,0,0,0,0,0,0,0,5320,-,-
51b374ef4c6f46a1b9ac934df14f2a92.mid,230,498,0,0,2307,3469,0,1486,1279,0,294,1024,0,260,366,0,0,9110,-,-
bce20e2ccae3ea8d494263154369c1fc.mid,229,0,0,0,0,5207,0,0,245,0,0,0,0,1009,0,5230,0,8680,-,-
b964c96b50a8d152969994803a21a09c.mid,229,0,0,0,0,1738,0,253,0,0,230,4293,1460,0,0,4918,237,11700,-,-
0e25c2545db9cf73530dbc7dc5b5ba15.mid,229,0,0,3629,5171,1119,0,1304,827,0,0,0,0,0,2128,0,0,4064,Pop_Rock,-
07865119d98058b51836dbb3e2fcc0e1.mid,229,0,0,0,0,0,0,0,0,0,0,4054,0,0,0,5486,0,8846,-,-
a1380a07faf6496fefc2954f10458954.mid,229,1237,0,0,6331,1397,0,1383,884,0,1106,0,0,0,0,0,0,8577,-,-
337577a132a7253b427d767350d44554.mid,229,2065,0,0,604,1330,1135,2596,495,0,1270,0,241,0,0,0,630,3210,RnB,Pop_Contemporary
e24146b0d74c542ee4ca9c63d5380c6a.mid,229,1237,0,0,6331,1397,0,1383,884,0,1106,0,0,0,0,0,0,8577,-,-
f268730c885530794c5556f9c2dc7e21.mid,229,0,0,0,0,1738,0,253,0,0,230,4293,1460,0,0,4918,237,11700,-,-
e46fca842291a5be987b2ddfa069ce46.mid,229,0,0,0,0,5396,0,0,245,0,0,0,0,1009,0,5279,0,8790,-,-
68ecfa44f521ac47048ecf52b2aa10df.mid,229,0,0,0,0,1808,0,0,4054,0,0,0,2786,0,0,1987,257,8848,-,-
823f5f0253d48f2eee7ff444ebc44286.mid,229,0,0,0,0,1808,1987,0,4054,0,0,0,2786,0,0,0,257,8848,-,-
2f726812fd58cd94eb927e3143cadcd4.mid,229,2164,0,0,0,1904,0,475,1325,851,0,321,612,0,393,0,0,4550,Jazz,Jazz_Classic
c9da43716db0a9035c084b6a288c749b.mid,229,1808,0,0,0,0,0,4054,0,0,0,0,0,0,0,4306,257,8848,-,-
1aeadea1dc6777de48633ed028e09a44.mid,228,0,0,0,10222,1668,0,903,2058,1229,0,0,0,0,0,0,0,4923,-,-
f812e5f90d8ba2e901e2e79bf93362ef.mid,228,0,0,3628,5170,1118,0,1303,826,0,0,0,0,0,2127,0,0,4070,Pop_Rock,-
f47963e50de792d9d58f8766ed8841cf.mid,228,0,0,0,7906,8110,335,3529,2290,0,341,1170,0,0,0,0,0,9960,-,-
69acc3c0a96d61f0b3ab6d344b50faf6.mid,228,2708,244,0,238,1323,0,2972,1000,274,0,0,347,0,0,0,0,5050,Jazz,Jazz_Classic
951684cba63fe1721bcbfd17d5fc1219.mid,228,0,0,3628,5170,1118,0,1303,826,0,0,0,0,0,2127,0,0,4070,Pop_Rock,-
